Probe	Symbol	acg	dlpfc	cb	amy	hc	nacc	new-mean-6	Symbol									
54941_at	RNF125	12	-6	1	-6	13	11	0.094745961										
81614_at	NIPA2	2	-6	10	1	2	10	0.094759875										
1800_at	DPEP1	10	-6	1	-6	11	-6	0.094863494										
30849_at	PIK3R4	8	-5	10	5	10	12	0.094864474										
5366_at	PMAIP1	2	5	4	3	5	3	0.094959593										
3003_at	GZMK	17	8	4	16	16	-3	0.094986541										
29062_at	WDR91	3	6	-1	-6	1	8	0.095029506										
28442_at	IGHV3-23	6	10	-2	1	-4	10	0.095070801										
27288_at	RBMXL2	2	4	-1	-4	7	9	0.095128409										
1791_at	DNTT	4	8	1	9	-5	11	0.095190934										
27173_at	SLC39A1	-1	-3	-3	1	-2	6	0.095240995										
9350_at	CER1	13	-6	-3	13	17	-6	0.095246375										
642_at	BLMH	5	1	9	-1	12	8	0.09525696										
5701_at	PSMC2	7	12	5	-2	9	-6	0.095312536										
55852_at	TEX2	4	0	10	5	2	2	0.09534625										
139748_at	KRT18P44	2	9	10	10	-5	6	0.09540887										
729659_at	S100A11P1	1	1	-4	-1	-4	3	0.095431516										
10794_at	ZNF460	10	3	-3	-5	-5	7	0.095548557										
7404_at	UTY	6	-1	7	1	9	7	0.095565517										
7341_at	SUMO1	1	17	7	16	8	17	0.09557272										
3914_at	LAMB3	2	5	8	8	0	-1	0.095585334										
26953_at	RANBP6	4	12	4	3	12	17	0.09561405										
4124_at	MAN2A1	11	-6	-5	-3	15	15	0.095630855										
64428_at	NARFL	-6	6	15	16	-5	13	0.095793903										
56949_at	XAB2	11	10	0	2	3	11	0.095887721										
598_at	BCL2L1	-1	-4	-3	5	2	-4	0.095893879										
10022_at	INSL5	11	15	13	-5	8	9	0.095960651										
5670_at	PSG2	-3	-1	4	8	14	-6	0.096015747										
6195_at	RPS6KA1	-6	1	-3	5	-3	-3	0.096081913										
5473_at	PPBP	6	8	9	7	10	6	0.096187836										
64787_at	EPS8L2	3	12	16	-1	10	14	0.096213201										
10847_at	SRCAP	16	2	16	8	-3	14	0.096244157										
767_at	CA8	17	2	17	-3	1	0	0.09625451										
55954_at	ZMAT5	-5	0	2	11	10	-4	0.0962879										
10961_at	ERP29	10	3	3	0	3	2	0.096324521										
1122_at	CHML	0	2	0	-1	11	2	0.096326537										
29982_at	NRBF2	5	-1	5	5	2	-1	0.096367921										
23041_at	MON2	5	16	1	14	12	9	0.096372771										
51157_at	ZNF580	-5	2	16	8	-1	12	0.096375767										
6751_at	SSTR1	1	-1	6	-3	-3	15	0.096389113										
2114_at	ETS2	-1	14	-6	8	-4	-5	0.096414851										
55086_at	CXorf57	1	-6	2	-2	11	-5	0.096418027										
1740_at	DLG2	16	16	-5	12	17	11	0.09644851										
9388_at	LIPG	5	1	10	5	-3	9	0.096477805										
79135_at	APOO	16	3	11	-6	8	5	0.096501747										
29940_at	DSE	5	14	3	4	4	9	0.096513562										
80108_at	ZFP2	9	7	5	-2	10	5	0.096516622										
130916_at	MTERFD2	13	-4	-3	17	-4	13	0.096540669										
8653_at	DDX3Y	6	5	3	5	5	5	0.096549814										
58529_at	MYOZ1	-4	1	7	14	-6	10	0.096599402										
8529_at	CYP4F2	-6	7	7	8	11	14	0.096662235										
1062_at	CENPE	-4	0	2	-3	-4	3	0.09678921										
56922_at	MCCC1	0	11	5	13	12	14	0.096822982										
2515_at	ADAM2	4	4	15	10	17	4	0.096858665										
3082_at	HGF	2	0	8	2	3	10	0.096862807										
6223_at	RPS19	15	-2	2	-3	16	-5	0.096888566										
10630_at	PDPN	3	5	0	2	4	2	0.096892749										
54738_at	FEV	-5	2	9	-2	-3	-3	0.096908143										
27257_at	LSM1	-2	4	9	-3	8	-1	0.097131601										
57187_at	THOC2	7	13	7	-1	12	5	0.097142145										
64118_at	DUS1L	2	7	10	5	3	9	0.097229828										
25830_at	SULT4A1	-4	6	7	5	-4	9	0.097229976										
50937_at	CDON	14	-6	13	4	-2	12	0.097233725										
22996_at	TTC39A	9	6	11	-3	1	9	0.097238825										
27042_at	C1orf107	-1	0	7	17	11	8	0.097276683										
16_at	AARS	4	1	5	4	-1	4	0.097286606										
79679_at	VTCN1	-3	6	-2	13	0	5	0.097297242										
3437_at	IFIT3	-5	17	8	11	14	14	0.09731707										
23529_at	CLCF1	-1	-4	17	4	9	13	0.097362712										
65220_at	NADK	16	-5	-2	13	-4	10	0.097384513										
10436_at	EMG1	0	2	6	-3	4	3	0.097387421										
6690_at	SPINK1	-4	-3	14	-4	-2	14	0.097406232										
23186_at	RCOR1	2	-5	2	0	8	6	0.097411628										
24142_at	NAT6	-1	4	11	5	1	4	0.097413088										
64757_at	MOSC1	16	-4	7	12	-4	16	0.097418891										
27159_at	CHIA	10	12	12	8	10	12	0.097519547										
7942_at	TFEB	13	2	3	6	-1	10	0.097572775										
9587_at	MAD2L1BP	0	1	4	-5	10	5	0.097649208										
8819_at	SAP30	7	-4	0	-5	9	-6	0.09775699										
650_at	BMP2	-3	1	15	3	10	2	0.097833397										
9172_at	MYOM2	9	11	-3	9	11	10	0.097863501										
8766_at	RAB11A	-5	15	-4	-4	17	-4	0.097873847										
9086_at	EIF1AY	7	-1	6	4	7	7	0.097877558										
80975_at	TMPRSS5	0	5	5	6	11	10	0.0979583										
55653_at	BCAS4	17	6	-4	-2	16	4	0.097990664										
9265_at	CYTH3	10	16	2	4	16	12	0.098000703										
6361_at	CCL17	2	5	-3	6	-1	12	0.098016155										
8435_at	SOAT2	-2	8	10	6	4	-3	0.098050062										
389856_at	USP27X	-6	9	7	11	-4	4	0.098159812										
90861_at	HN1L	9	-2	-1	3	7	10	0.098191503										
26747_at	NUFIP1	5	9	2	5	-3	1	0.098245505										
10869_at	USP19	10	12	-2	8	8	12	0.098279784										
10238_at	DCAF7	12	14	-1	10	14	11	0.098350216										
5261_at	PHKG2	1	1	7	9	6	16	0.098377508										
91442_at	C19orf40	5	6	-1	15	8	1	0.098443455										
170680_at	PSORS1C2	-5	3	14	13	11	-6	0.098451126										
3476_at	IGBP1	-3	15	12	-5	12	16	0.0984584										
23636_at	NUP62	3	-6	-2	3	0	0	0.0985623										
5771_at	PTPN2	3	15	-2	-1	7	6	0.09856612										
55735_at	DNAJC11	-4	12	12	0	15	10	0.098580665										
126393_at	HSPB6	-6	5	10	10	7	3	0.098644778										
6648_at	SOD2	5	0	-1	1	3	3	0.098733026										
55500_at	ETNK1	-2	-3	11	2	1	3	0.098755788										
9252_at	RPS6KA5	5	6	-1	2	6	6	0.098765982										
8491_at	MAP4K3	4	16	1	7	1	-2	0.098826904										
66036_at	MTMR9	12	12	9	7	14	13	0.098847519										
2288_at	FKBP4	-2	-1	15	-3	-3	-4	0.098883102										
55664_at	CDC37L1	15	14	16	-5	6	11	0.098906137										
80310_at	PDGFD	-4	-6	-4	16	4	11	0.098909788										
3613_at	IMPA2	1	-2	2	7	6	0	0.098927017										
5618_at	PRLR	16	7	8	2	6	12	0.098941414										
516_at	ATP5G1	14	-6	11	17	16	15	0.098947944										
1962_at	EHHADH	14	11	0	-1	5	8	0.09896768										
4495_at	MT1G	8	8	7	6	2	5	0.099031485										
54662_at	TBC1D13	16	11	-3	11	8	17	0.099043729										
1824_at	DSC2	-3	-2	6	5	2	0	0.099093185										
22797_at	TFEC	6	-1	6	-5	-3	10	0.099104736										
6702_at	SPRR2C	4	3	0	12	12	8	0.0991141										
54903_at	MKS1	-6	1	17	14	10	8	0.099138545										
56659_at	KCNK13	8	12	7	15	11	-6	0.099149773										
26234_at	FBXL5	4	13	3	-1	10	3	0.099165715										
9495_at	AKAP5	-2	2	11	14	-6	7	0.099214755										
3954_at	LETM1	5	-2	-4	-5	10	-5	0.099273368										
6672_at	SP100	14	10	-4	1	3	12	0.099293456										
399979_at	SNX19	17	-5	14	17	14	15	0.099336801										
10120_at	ACTR1B	12	2	-6	6	1	3	0.099349806										
10748_at	KLRA1	6	-5	-2	2	-3	9	0.099384035										
50628_at	GEMIN4	17	-1	-2	12	8	16	0.099387624										
474344_at	GIMAP6	17	14	-6	3	14	17	0.099400559										
5361_at	PLXNA1	16	14	15	7	16	16	0.099503461										
79977_at	GRHL2	1	7	10	6	-5	9	0.09951611										
60561_at	RINT1	1	14	-1	7	4	-2	0.099518013										
5420_at	PODXL	0	11	14	4	2	-4	0.099525294										
55785_at	FGD6	-2	-6	10	-5	-5	15	0.099531455										
9370_at	ADIPOQ	-5	12	15	15	7	-4	0.099556243										
4104_at	MAGEA5	-2	4	0	-1	-5	4	0.099576373										
5087_at	PBX1	7	-4	-4	12	9	5	0.099597468										
388567_at	ZNF749	-1	8	8	10	0	1	0.099635411										
3978_at	LIG1	1	4	7	-2	8	7	0.099652201										
3699_at	ITIH3	9	11	-5	8	-4	10	0.099665453										
80306_at	MED28	-3	17	4	-1	8	-1	0.099688622										
55138_at	FAM90A1	4	14	8	12	-3	16	0.099737399										
9766_at	KIAA0247	4	3	1	6	2	3	0.099779129										
23116_at	FAM179B	8	14	14	10	13	14	0.099781299										
51657_at	STYXL1	-6	-5	14	15	16	-6	0.099807874										
55247_at	NEIL3	16	1	-5	11	11	9	0.099812908										
203197_at	C9orf91	9	9	0	6	2	8	0.099853832										
57415_at	C3orf14	16	13	-5	16	16	-4	0.099856285										
2597_at	GAPDH	-6	1	-3	-6	0	0	0.099874021										
161_at	AP2A2	8	9	4	7	-6	11	0.099910157										
5199_at	CFP	-6	8	-6	7	9	-6	0.099913673										
9218_at	VAPA	7	-4	8	-4	15	9	0.099947838										
26063_at	DECR2	-1	12	-6	11	12	9	0.099971315										
2615_at	LRRC32	-5	-1	14	-1	-1	-4	0.100009323										
3280_at	HES1	6	6	11	11	3	3	0.100029421										
57172_at	CAMK1G	16	10	8	11	-5	8	0.100029843										
47_at	ACLY	5	5	-5	0	4	11	0.10017838										
10352_at	WARS2	12	9	-2	16	3	0	0.100193691										
3955_at	LFNG	11	0	-2	10	5	10	0.100211033										
55718_at	POLR3E	4	-3	8	8	3	0	0.10023195										
84617_at	TUBB6	0	2	3	3	0	3	0.100238423										
26354_at	GNL3	2	2	5	1	5	11	0.100313621										
51703_at	ACSL5	-1	4	-1	3	3	3	0.100323989										
51621_at	KLF13	10	11	17	11	11	14	0.100436576										
5546_at	PRCC	7	11	12	9	7	13	0.100457221										
1776_at	DNASE1L3	-4	5	7	3	-1	7	0.100465872										
3726_at	JUNB	3	5	-1	1	0	-1	0.100515696										
8270_at	LAGE3	-6	1	10	17	-3	-2	0.100619128										
25966_at	C2CD2	3	10	10	3	7	5	0.100652849										
79703_at	C11orf80	13	6	8	10	0	13	0.100657637										
223117_at	SEMA3D	6	-1	-3	16	15	1	0.100661793										
26012_at	NELF	16	10	11	10	-1	17	0.100668232										
23160_at	WDR43	8	13	9	6	11	7	0.100915153										
55759_at	WDR12	9	14	6	-1	11	6	0.100939651										
2935_at	GSPT1	0	16	5	-2	6	0	0.100990013										
7280_at	TUBB2A	-6	10	3	2	-3	-5	0.100997255										
4818_at	NKG7	6	6	-3	6	1	13	0.101083932										
29911_at	HOOK2	2	5	2	10	0	9	0.101241656										
6769_at	STAC	-6	-4	15	0	10	-2	0.101284392										
64771_at	C6orf106	17	5	15	13	4	6	0.10129521										
54974_at	THG1L	1	6	-5	13	2	-4	0.101371827										
64172_at	OSGEPL1	17	-1	-1	-4	7	5	0.101374793										
3141_at	HLCS	3	3	-6	-6	14	11	0.10142036										
3169_at	FOXA1	8	-4	9	4	-3	1	0.1014269										
79689_at	STEAP4	10	1	2	-2	-1	-2	0.101483618										
83743_at	GRWD1	0	-3	15	-2	7	14	0.101541939										
55288_at	RHOT1	3	11	3	8	10	15	0.101545605										
91304_at	C19orf6	14	-1	-3	-2	2	-2	0.101553522										
11214_at	AKAP13	17	10	-5	9	8	-6	0.101607684										
56899_at	ANKS1B	4	11	-5	-4	10	13	0.101635155										
50848_at	F11R	-2	7	-1	12	9	1	0.101644781										
4761_at	NEUROD2	13	7	1	10	-4	-6	0.101655795										
60485_at	SAV1	5	9	10	-2	5	9	0.10168058										
467_at	ATF3	-3	0	-4	-3	-2	-2	0.101736854										
1124_at	CHN2	8	-1	1	15	-2	15	0.101764516										
22843_at	PPM1E	13	-2	14	14	-5	15	0.101796726										
57408_at	LRTM1	17	-5	7	12	17	15	0.101856431										
51056_at	LAP3	3	17	6	2	3	-1	0.101893889										
7380_at	UPK3A	11	11	-3	17	2	4	0.101970018										
11253_at	MAN1B1	6	10	-2	8	2	17	0.102033598										
6786_at	STIM1	-4	6	16	8	0	10	0.102070687										
2660_at	MSTN	12	-2	6	12	13	5	0.102140357										
55350_at	VNN3	-5	5	-1	7	-2	9	0.102199223										
5144_at	PDE4D	-2	-4	9	-2	-3	12	0.102265996										
81792_at	ADAMTS12	-6	0	9	17	-3	0	0.102413991										
27112_at	FAM155B	17	8	12	17	-3	8	0.102414222										
23536_at	ADAT1	2	10	-1	3	14	11	0.102455617										
634_at	CEACAM1	-6	-1	6	14	0	-5	0.102476241										
23452_at	ANGPTL2	9	-2	5	0	3	9	0.102489003										
4882_at	NPR2	17	2	-2	14	16	-2	0.102556252										
3709_at	ITPR2	9	14	10	14	12	16	0.102586862										
2304_at	FOXE1	-6	4	11	15	1	6	0.102599184										
5705_at	PSMC5	15	8	9	16	10	10	0.102604811										
64219_at	PJA1	-6	1	9	-3	-6	0	0.102737058										
3973_at	LHCGR	-4	6	7	16	-2	14	0.10274774										
6347_at	CCL2	3	8	5	2	1	0	0.102821679										
55182_at	RNF220	10	5	8	14	0	-4	0.102885468										
965_at	CD58	-4	-2	8	5	5	1	0.102906299										
4703_at	NEB	7	1	11	16	-2	11	0.102911793										
140460_at	ASB7	-5	8	-2	17	-4	-5	0.102937474										
51510_at	CHMP5	-4	12	-2	16	5	-5	0.103003956										
23576_at	DDAH1	9	12	14	11	15	12	0.103010455										
79802_at	HHIPL2	17	-4	7	14	12	-6	0.103028035										
8452_at	CUL3	6	11	5	8	8	-5	0.103033755										
10983_at	CCNI	-5	1	0	5	0	11	0.103045736										
887_at	CCKBR	17	10	11	13	7	-3	0.103058675										
6781_at	STC1	-3	1	-2	-1	0	4	0.103177017										
3066_at	HDAC2	8	16	12	-1	10	-4	0.103260209										
9076_at	CLDN1	7	10	14	-6	5	4	0.103272255										
5256_at	PHKA2	14	1	2	16	10	15	0.103379695										
57191_at	VN1R1	6	12	0	-5	9	10	0.103432646										
9126_at	SMC3	10	-4	-2	14	13	-3	0.103518761										
55028_at	C17orf80	9	16	-3	17	15	-2	0.10353113										
79755_at	ZNF750	10	0	4	-4	5	5	0.103538923										
7625_at	ZNF74	3	-5	1	-5	-1	6	0.103639259										
50836_at	TAS2R8	-4	-1	9	2	5	12	0.103700925										
51134_at	CCDC41	9	12	10	9	7	11	0.10372365										
4439_at	MSH5	4	7	0	16	8	-5	0.103783573										
57157_at	PHTF2	4	1	0	4	9	7	0.103831132										
2208_at	FCER2	6	11	-3	11	-3	6	0.103839148										
55282_at	LRRC36	14	3	1	-1	4	2	0.103886022										
9627_at	SNCAIP	15	8	10	16	10	14	0.103896816										
10568_at	SLC34A2	-6	17	1	6	4	8	0.10393432										
9437_at	NCR1	-6	14	-6	15	7	10	0.103936943										
55118_at	CRTAC1	11	3	3	1	16	13	0.1039508										
6578_at	SLCO2A1	-5	-6	6	13	4	1	0.103965807										
727897_at	MUC5B	11	11	-3	-5	-2	-6	0.103978184										
2563_at	GABRD	12	9	-5	-2	2	2	0.104009093										
922_at	CD5L	-6	7	4	-2	6	3	0.104140636										
55156_at	ARMC1	7	16	1	13	9	10	0.104183744										
2165_at	F13B	17	17	11	2	-4	10	0.104188044										
50617_at	ATP6V0A4	13	-1	6	11	2	5	0.104196538										
8439_at	NSMAF	-2	7	-3	0	13	5	0.104353314										
93349_at	SP140L	-6	-2	11	6	6	8	0.10440663										
51304_at	ZDHHC3	0	-2	9	4	14	17	0.104418937										
23049_at	SMG1	17	-3	7	-5	13	-1	0.104476788										
5605_at	MAP2K2	16	6	-5	8	1	17	0.104541223										
81833_at	SPACA1	1	10	2	-3	10	1	0.104554208										
22822_at	PHLDA1	-4	10	6	-1	4	15	0.104565065										
4750_at	NEK1	9	13	6	10	13	9	0.104573186										
2355_at	FOSL2	1	2	-3	1	-3	1	0.104677431										
23548_at	TTC33	4	-1	0	-5	3	2	0.104841639										
441151_at	TMEM151B	16	13	2	13	-1	-6	0.104859562										
9724_at	UTP14C	11	16	7	-2	14	13	0.104904428										
2069_at	EREG	-2	-3	15	-2	14	6	0.10494135										
4212_at	MEIS2	5	17	6	-2	12	13	0.104948941										
1020_at	CDK5	14	4	14	12	-5	-2	0.105038659										
55879_at	GABRQ	15	13	9	-3	-1	11	0.105057667										
1833_at	EPYC	16	0	-2	6	2	14	0.105104686										
54540_at	FAM193B	-6	11	13	10	5	15	0.105115608										
8718_at	TNFRSF25	12	9	12	10	15	14	0.105116784										
11259_at	FILIP1L	-6	14	7	-3	10	-3	0.10511809										
8859_at	STK19	0	11	2	9	2	3	0.105118747										
7979_at	SHFM1	4	13	3	-6	-4	-2	0.105193872										
1351_at	COX8A	-6	0	10	17	9	7	0.105264811										
9353_at	SLIT2	7	7	11	3	17	-4	0.105310954										
9390_at	SLC22A13	0	5	15	-3	-4	12	0.105321725										
6999_at	TDO2	10	-6	10	10	12	17	0.105353798										
55654_at	TMEM127	8	8	9	5	6	1	0.105383628										
51162_at	EGFL7	-6	5	-5	5	4	7	0.105562983										
64780_at	MICAL1	10	9	-5	4	9	16	0.105593526										
5899_at	RALB	17	7	14	16	15	-4	0.105636892										
7514_at	XPO1	3	17	9	-4	16	-6	0.105649205										
79145_at	CHCHD7	6	14	8	-4	13	9	0.105747656										
2058_at	EPRS	10	14	13	10	13	9	0.105782317										
79932_at	KIAA0319L	2	4	-6	11	11	-2	0.10592412										
54585_at	LZTFL1	5	11	4	8	7	17	0.105925345										
7629_at	ZNF76	-2	0	15	-5	13	-2	0.10593955										
2241_at	FER	14	-6	-6	14	15	6	0.105940051										
26036_at	ZNF451	5	4	0	0	4	6	0.105959062										
89797_at	NAV2	1	0	-2	4	0	-5	0.106029372										
8724_at	SNX3	-6	-5	9	12	-5	-5	0.106091569										
23659_at	PLA2G15	9	11	-6	2	-5	9	0.106091664										
64221_at	ROBO3	-5	-6	-5	16	-5	11	0.106091764										
2297_at	FOXD1	14	5	14	-1	6	4	0.106098999										
2921_at	CXCL3	6	7	-2	1	13	10	0.106119774										
59_at	ACTA2	10	10	13	-1	12	16	0.106130803										
54970_at	TTC12	7	8	11	-2	6	10	0.106208615										
2677_at	GGCX	17	-1	-6	14	8	12	0.10625667										
57763_at	ANKRA2	-4	-6	-1	-6	10	17	0.106265175										
79631_at	EFTUD1	-4	16	11	-4	11	-3	0.106330488										
88_at	ACTN2	-4	1	10	-1	4	0	0.106471507										
22998_at	LIMCH1	6	-6	-4	-4	15	-1	0.106556013										
22914_at	KLRK1	-6	6	14	7	6	8	0.106572089										
50616_at	IL22	13	1	-3	14	14	9	0.106607561										
83658_at	DYNLRB1	-4	0	9	17	-2	-2	0.106642117										
6335_at	SCN9A	5	5	16	-5	-6	0	0.106685652										
10025_at	MED16	10	10	10	8	10	-6	0.106765614										
5697_at	PYY	17	6	13	13	14	10	0.106779097										
633_at	BGN	9	11	15	4	8	11	0.106803531										
10950_at	BTG3	-2	-3	6	-3	4	0	0.106805012										
3590_at	IL11RA	10	12	-6	-1	16	5	0.10680767										
29895_at	MYLPF	-5	-4	17	15	16	6	0.106809458										
4482_at	MSRA	-5	14	0	14	-3	12	0.106825709										
8625_at	RFXANK	14	8	7	14	15	12	0.106853234										
4628_at	MYH10	9	9	10	8	15	12	0.106889905										
57209_at	ZNF248	9	14	11	13	12	11	0.106901916										
1638_at	DCT	-3	0	-2	-1	9	6	0.106931826										
1573_at	CYP2J2	-4	-4	9	-5	-3	-3	0.106974541										
3855_at	KRT7	5	1	-3	17	12	3	0.107005703										
1982_at	EIF4G2	-3	-5	-3	-2	-1	-6	0.107017496										
9584_at	RBM39	11	13	-5	-2	14	14	0.107069599										
1607_at	DGKB	3	14	1	12	2	0	0.107109157										
4682_at	NUBP1	-1	-2	16	-3	8	-1	0.107125873										
445_at	ASS1	-2	10	13	-2	11	-5	0.107220648										
11282_at	MGAT4B	15	3	3	13	0	-3	0.107221239										
131408_at	FAM131A	-6	16	9	9	-4	-4	0.107250054										
4782_at	NFIC	10	8	15	-4	1	10	0.107251776										
206358_at	SLC36A1	-4	17	16	7	-4	16	0.107263431										
4884_at	NPTX1	4	6	8	10	-2	-5	0.107276813										
60488_at	MRPS35	3	16	4	14	3	16	0.107311808										
11179_at	ZNF277	-2	12	2	16	7	0	0.107396939										
8332_at	HIST1H2AL	-2	4	2	-2	1	7	0.107417568										
419_at	ART3	4	2	-6	9	8	-5	0.107419835										
10437_at	IFI30	-6	4	1	1	0	3	0.10749795										
3172_at	HNF4A	12	8	-2	-4	-1	11	0.107538693										
23415_at	KCNH4	6	3	8	-2	-4	7	0.107559656										
2657_at	GDF1	9	7	4	5	11	14	0.107729382										
5291_at	PIK3CB	11	-5	13	10	5	7	0.107782345										
644096_at	SDHAF1	17	1	-1	14	-3	8	0.107955365										
6532_at	SLC6A4	-6	1	8	11	8	15	0.108033878										
57336_at	ZNF287	10	-6	9	16	13	9	0.108039026										
3396_at	ICT1	7	13	-4	-6	10	-4	0.108053809										
10270_at	AKAP8	2	0	-1	11	5	3	0.108081864										
10810_at	WASF3	14	13	-3	12	14	-5	0.108083894										
23148_at	NACAD	6	-4	3	-1	-2	-3	0.10824039										
90333_at	ZNF468	9	-4	12	3	10	5	0.108271725										
79022_at	TMEM106C	-6	4	2	-6	14	15	0.108272316										
51362_at	CDC40	8	17	1	-1	-2	2	0.108288626										
1892_at	ECHS1	4	6	1	-6	10	3	0.108326242										
51050_at	PI15	9	5	2	-4	8	8	0.108352553										
10186_at	LHFP	6	12	11	8	10	14	0.108355191										
7476_at	WNT7A	11	9	-3	16	-4	14	0.108435268										
7128_at	TNFAIP3	-1	2	2	-2	-2	4	0.108438701										
7293_at	TNFRSF4	9	0	-4	16	-3	10	0.108441222										
3479_at	IGF1	16	-1	3	16	12	13	0.108455064										
80146_at	UXS1	-4	-4	6	-3	1	-3	0.108524604										
4609_at	MYC	-4	12	16	-1	0	5	0.1086337										
114_at	ADCY8	10	10	10	-2	12	3	0.108698021										
55554_at	KLK15	0	15	3	-6	14	-4	0.108700048										
644_at	BLVRA	1	0	7	-4	-4	2	0.108708285										
10152_at	ABI2	-6	-2	-2	14	-5	1	0.108753996										
10896_at	OCLM	4	1	-3	-1	8	12	0.108781119										
1606_at	DGKA	-3	-2	-2	11	-1	-6	0.108805443										
57101_at	ANO2	-5	-2	13	-6	-4	12	0.108821844										
10738_at	RFPL3	13	-4	5	2	9	2	0.108898527										
5108_at	PCM1	9	17	-2	12	15	-6	0.108976267										
54801_at	HAUS6	-2	14	11	-4	6	8	0.10898977										
26211_at	OR2F1	10	9	-2	7	12	-2	0.10899455										
79846_at	C7orf63	7	10	-5	0	2	7	0.10901931										
51096_at	UTP18	-4	12	3	-6	1	-6	0.109058809										
79711_at	IPO4	-5	6	7	-4	0	5	0.109060667										
1285_at	COL4A3	10	8	-2	9	7	11	0.109099981										
3182_at	HNRNPAB	2	3	8	1	4	4	0.109119111										
909_at	CD1A	-4	5	16	8	9	14	0.10922758										
8630_at	HSD17B6	-1	-3	1	-4	-5	-1	0.109265853										
10505_at	SEMA4F	1	-5	15	9	-4	-5	0.109304783										
2158_at	F9	-1	-4	-4	16	4	14	0.109318897										
80221_at	ACSF2	-2	14	16	8	12	9	0.109324601										
6696_at	SPP1	7	-2	-2	-1	-1	3	0.109327781										
9657_at	IQCB1	-1	4	-1	-4	1	0	0.109421843										
1634_at	DCN	11	10	13	10	10	13	0.109449116										
5032_at	P2RY11	8	10	-3	11	-6	-5	0.109500518										
9121_at	SLC16A5	13	12	9	8	-5	17	0.109532568										
91782_at	CHMP7	8	9	7	9	10	10	0.109540271										
79080_at	CCDC86	3	-6	9	-1	-4	1	0.109544615										
2173_at	FABP7	-2	-6	-3	15	17	-6	0.109561329										
11082_at	ESM1	-6	3	6	14	2	8	0.109601908										
3035_at	HARS	2	9	17	4	5	-2	0.109792601										
26531_at	OR11A1	-4	10	-5	11	-2	4	0.109802139										
4199_at	ME1	0	12	11	0	10	4	0.109818897										
3382_at	ICA1	15	10	15	-5	9	-1	0.109833928										
10677_at	AVIL	8	10	-3	7	-1	12	0.109854786										
5149_at	PDE6H	3	4	7	6	-1	16	0.109887872										
50813_at	COPS7A	1	4	14	8	0	3	0.109895893										
10581_at	IFITM2	-2	12	3	1	1	-1	0.109981359										
8216_at	LZTR1	-5	-4	14	3	-5	13	0.110023067										
2268_at	FGR	-3	-1	5	10	-4	12	0.110026844										
29953_at	TRHDE	-3	15	11	8	2	16	0.110162805										
8662_at	EIF3B	1	9	4	2	7	8	0.110197549										
22821_at	RASA3	5	-5	-4	-3	-5	-4	0.110216887										
57149_at	LYRM1	-5	16	10	17	11	7	0.110255341										
9340_at	GLP2R	-6	6	-6	5	-6	9	0.110273177										
55039_at	TRMT12	17	15	5	-2	-3	12	0.110350084										
10894_at	LYVE1	-4	11	-3	12	-4	0	0.110409664										
9684_at	LRRC14	6	12	3	9	2	-2	0.110415702										
8829_at	NRP1	-6	15	15	3	-4	-2	0.110489631										
5292_at	PIM1	-1	4	3	-1	3	1	0.110613795										
5295_at	PIK3R1	8	13	-2	9	11	9	0.110715599										
56478_at	EIF4ENIF1	4	11	5	5	-5	1	0.110732596										
5967_at	REG1A	-3	10	9	10	0	0	0.110756236										
56673_at	C11orf16	15	5	12	17	4	9	0.110791039										
5092_at	PCBD1	-4	1	-4	-4	1	-3	0.110869101										
26520_at	TIMM9	-2	6	5	-4	4	-2	0.110876922										
66008_at	TRAK2	8	10	12	2	11	9	0.110900957										
65108_at	MARCKSL1	10	-2	16	-2	-5	11	0.110936862										
25865_at	PRKD2	17	15	16	11	-4	-6	0.110963041										
6489_at	ST8SIA1	4	-2	-2	0	-1	4	0.111061887										
10246_at	SLC17A2	10	-4	6	4	14	-2	0.111135678										
23316_at	CUX2	3	11	7	8	2	0	0.111533898										
51204_at	TACO1	16	2	10	-4	2	8	0.111585357										
55969_at	C20orf24	-2	2	9	-4	-3	1	0.111736104										
7327_at	UBE2G2	2	2	1	2	1	0	0.111780108										
859_at	CAV3	16	11	8	11	-3	8	0.11180238										
30811_at	HUNK	7	10	-5	-2	-1	10	0.111833496										
83696_at	TRAPPC9	12	7	-3	12	1	11	0.111867007										
6405_at	SEMA3F	-1	2	-5	9	4	-1	0.111915973										
3338_at	DNAJC4	-1	-4	12	-3	6	3	0.111938586										
79751_at	SLC25A22	16	6	-2	7	-2	-5	0.112022808										
10233_at	LRRC23	14	-6	9	13	2	11	0.112026397										
55135_at	WRAP53	10	4	1	-6	1	16	0.112090426										
2516_at	NR5A1	15	7	0	9	-2	2	0.112111455										
2734_at	GLG1	9	-3	15	10	13	7	0.112112055										
10397_at	NDRG1	7	-3	17	0	-2	-1	0.112128636										
57126_at	CD177	-3	4	7	-6	-1	5	0.112159044										
9064_at	MAP3K6	0	7	-5	7	7	10	0.112181068										
55815_at	TSNAXIP1	16	2	7	11	3	12	0.112184026										
8821_at	INPP4B	-4	14	7	16	7	6	0.112240626										
1594_at	CYP27B1	1	-5	9	12	10	7	0.112276582										
3577_at	CXCR1	-4	-4	5	10	-2	16	0.112437159										
51026_at	GOLT1B	3	-4	-2	-1	-2	-2	0.1124467										
10492_at	SYNCRIP	5	11	15	1	8	7	0.1125085										
51440_at	HPCAL4	-6	13	-3	12	16	13	0.112551867										
6364_at	CCL20	0	1	8	11	-1	9	0.112593993										
